Version	Date	Time	Author	Comment
142	14-Oct-2021	16:36	Philip Swannell	In release 120 (or soon after) I followed suggestions from RubberDuck code analysis to explicitly declare all arguments as ByVal or ByRef with preference for ByVal. But I now believe that caused a performance hit, especially when ConvertTypes is not FALSE. Reverted declarations to as of version 119. I now declare as follows:<LF>ByVal = argument will be changed in function and we don't want that change to be visible to the caller.<LF>ByRef = argument will be changed in function and we DO want that change to be visible to the caller.<LF>Silent = argument won't be changed in the function, so pass by reference (the default) for better speed.
141	14-Oct-2021	09:42	Philip Swannell	Added to ToDo list.
140	14-Oct-2021	09:26	Philip Swannell	Comments in module modCSVTestRDatasets.
139	13-Oct-2021	17:17	Philip Swannell	Reinstated changes that were lost in 138.
138	13-Oct-2021	17:14	Philip Swannell	Reverted to 137 as 138 corrupted.
137	12-Oct-2021	12:37	Philip Swannell	CSVWrite now accepts one-dimensional Data.
136	11-Oct-2021	19:11	Philip Swannell	CSVWrite now accepts zero-dimensional Data.
135	08-Oct-2021	19:29	Philip Swannell	More performance testing
134	08-Oct-2021	16:24	Philip Swannell	Tweaked method PrepareForRelease.
133	08-Oct-2021	11:41	Philip Swannell	Improved error handling in method Download.
132	08-Oct-2021	10:55	Philip Swannell	Method TimeParsers now adjusts for the overhead of calling ElapsedTime within the timing loop.
131	07-Oct-2021	22:33	Philip Swannell	Removed line numbers.
130	05-Oct-2021	16:25	Philip Swannell	Added another VBA CSV parser to those tested by Performance-testing code. It's the top-voted answer on the most relevant StackOverflow question (at https://stackoverflow.com/questions/12259595/load-csv-file-into-a-vba-array-rather-than-excel-sheet?)
129	04-Oct-2021	10:06	Philip Swannell	Work on non-RFC4180
128	01-Oct-2021	10:27	Philip Swannell	Added sheet NotRFC4180.
127	30-Sep-2021	15:54	Philip Swannell	Re-ran performance tests. Strangely there seems to have been a regression in Julia's performance...
126	30-Sep-2021	14:27	Philip Swannell	Changes prompted by RubberDuck analysis.
125	30-Sep-2021	13:47	Philip Swannell	Changes prompted by RubberDuck analysis.
124	30-Sep-2021	08:32	Philip Swannell	Re-imported sdkn104 code also.
123	30-Sep-2021	08:28	Philip Swannell	Re-imported ws_garcia code - I must have inadvertently changed it when making the Rubberduck-prompted changes and somehow broke it.
122	29-Sep-2021	19:38	Philip Swannell	Changes prompted by RubberDuck analysis.
121	29-Sep-2021	18:17	Philip Swannell	Changes prompted by RubberDuck analysis.
120	29-Sep-2021	16:59	Philip Swannell	Changes prompted by RubberDuck analysis.
119	29-Sep-2021	12:42	Philip Swannell	First GIF revisited.
118	28-Sep-2021	20:01	Philip Swannell	Added hyperlinks etc on this sheet.
117	28-Sep-2021	17:01	Philip Swannell	Work on third GIF
116	28-Sep-2021	11:30	Philip Swannell	Work on second GIF
115	28-Sep-2021	11:11	Philip Swannell	Work on Titanic GIF.
114	28-Sep-2021	10:10	Philip Swannell	Merged src and dev folders. Deleted variable HasBOM as no longer needed.
113	27-Sep-2021	19:16	Philip Swannell	Arg DateFormat to CSVRead now defaults to Y-M-D.
112	27-Sep-2021	18:54	Philip Swannell	Changes to sheet GIF.
111	27-Sep-2021	18:27	Philip Swannell	Changes to sheet GIF.
110	27-Sep-2021	17:30	Philip Swannell	Changes to sheet GIF.
109	25-Sep-2021	19:33	Philip Swannell	Added sheet GIF that works in conjunction with workbook VBA-CSV-GIFMaker.xlsm
108	24-Sep-2021	17:34	Philip Swannell	Added code to generate CSVReadTitanic.gif.
107	24-Sep-2021	13:05	Philip Swannell	Added tests for breach of 32k limit on field length when calling from Excel.
106	24-Sep-2021	12:46	Philip Swannell	Sorted methods in module modCSVReadWrite
105	24-Sep-2021	10:56	Philip Swannell	Work on 32k/255 limit for returning strings to Excel
104	23-Sep-2021	14:01	Philip Swannell	Late bind to ADODB. It would make installation simpler if late bound to Scripting run time and regular expressions but that I suspect that would hit performance.
103	23-Sep-2021	13:13	Philip Swannell	CSVWrite now takes argument Encoding rather than Unicode.
102	23-Sep-2021	10:05	Philip Swannell	Added to TODO list.
101	22-Sep-2021	11:58	Philip Swannell	Deleted older of the two Performance sheets.
100	22-Sep-2021	11:56	Philip Swannell	Added tests for date-time parsing, including decimal fractions of a second for D-M-Y, M-D-Y and Y-M-D.
99	21-Sep-2021	17:39	Philip Swannell	Reduced the number of lines> 122 in length
98	21-Sep-2021	16:07	Philip Swannell	Simplified declaration of CSVRead by not providing unnecessary defaults.
97	21-Sep-2021	15:59	Philip Swannell	More tests using files from the Julia CSV.jl test suite.
96	21-Sep-2021	15:24	Philip Swannell	Fixed bug that SkipToRow was not defaulting to HeaderRowNum+1 when omitted.
95	21-Sep-2021	14:45	Philip Swannell	Corrected typos on worksheet "Test".
94	21-Sep-2021	14:15	Philip Swannell	Method ParseTextFile replaces methods ShowTextFile and SplitCSVContents. Better performance when Delimited = False.
93	20-Sep-2021	17:56	Philip Swannell	Docstring changes.
92	20-Sep-2021	17:11	Philip Swannell	Rewrote ShowTextFile to work for files with Mac line endings.
91	20-Sep-2021	15:33	Philip Swannell	Ran AmendVBA
90	20-Sep-2021	15:25	Philip Swannell	Ran MZTools > Clean Project.
89	20-Sep-2021	14:32	Philip Swannell	Updated docstrings.
88	20-Sep-2021	10:21	Philip Swannell	Changes on Test sheet.
87	20-Sep-2021	09:43	Philip Swannell	Added five more tests to be sure we interpret ANSI, UTF-8, UTF-8-BOM, UTF-16-LE-BOM and UTF-16-BE-BOM correctly.
86	19-Sep-2021	19:14	Philip Swannell	Now use ADODB.Stream for UTF-8 files and Scripting.Stream for ASCII, ANSI and UTF-16.
85	19-Sep-2021	18:31	Philip Swannell	ReadTextWrapper mostly solves the performance problem.
84	19-Sep-2021	16:33	Philip Swannell	Performance turned out to be terrible thanks to bad performance of ADODB.ReadText on large files. Wrote method ReadTextWrapper to (hopefully) solve the problem.
83	19-Sep-2021	11:16	Philip Swannell	All tests pass with ADODB.Stream, need to check performance.
82	19-Sep-2021	10:16	Philip Swannell	Experimenting with using ADODB.Stream in place of Scripting.TextStream
81	11-Sep-2021	11:30	Philip Swannell	Code comments only.
80	11-Sep-2021	09:42	Philip Swannell	Added test for FileName being literal with no line feed.
79	11-Sep-2021	09:22	Philip Swannell	Code comments only.
78	09-Sep-2021	12:33	Philip Swannell	Change to InferSourceType
77	09-Sep-2021	10:28	Philip Swannell	mid -> mid$
76	09-Sep-2021	09:04	Philip Swannell	Ran method AmendVBACode
75	08-Sep-2021	19:00	Philip Swannell	Docstring changes.
74	08-Sep-2021	09:11	Philip Swannell	Improved "word-wrapping" in modCSVReadWrite.
73	07-Sep-2021	13:47	Philip Swannell	Improved speed of method CastToDate.
72	07-Sep-2021	11:22	Philip Swannell	Can now (optionally) set array lower bounds to zero.
71	06-Sep-2021	14:22	Philip Swannell	Changes to method CastToDate
70	05-Sep-2021	08:27	Philip Swannell	Renamed functions sNRows -> NRows etc.
69	03-Sep-2021	09:18	Philip Swannell	HeaderRow now trimmed.
68	02-Sep-2021	18:29	Philip Swannell	Removed two old Performance sheets.
67	02-Sep-2021	17:37	Philip Swannell	Updated docstrings.
66	02-Sep-2021	09:49	Philip Swannell	Amending Tests
65	02-Sep-2021	09:29	Philip Swannell	Recovering from Git woes and their consequences for tests.
64	01-Sep-2021	18:11	Philip Swannell	Re-ran performance tests.
63	01-Sep-2021	16:46	Philip Swannell	Fixed compile errors when modCSVReadWrite is "stand-alone".
62	01-Sep-2021	16:12	Philip Swannell	Added 2 missing tests - 110 and 124.
61	01-Sep-2021	15:29	Philip Swannell	Deleted temporary sheets used during previous release.
60	01-Sep-2021	15:29	Philip Swannell	Changes to compile on 32bit.
59	01-Sep-2021	10:34	Philip Swannell	Code of modWrappers moved to modCSVPerformance
58	31-Aug-2021	09:52	Philip Swannell	Workbook now more "portable" i.e. folder locations all relative to the path of the workbook itself.
57	30-Aug-2021	19:35	Philip Swannell	Reinstated conditional formatting on sheet Demo.
