"Performance",,,,,,,,,,,,,,,
"Performance - shows regression in Julia's performance from version 0.8.5+ to version 0.9.0",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"This data generated 30-September-2021 08:35:08",,,,,,,"C:\Projects\VBA-CSV\julia\juliaparsetimes(CSV_version_main_as_of_29-Aug-2021).csv","C:\Projects\VBA-CSV\julia\juliaparsetimes_CSV_version_0.9.0.csv",,,,,,"Chart_1_Time_v_Rows.jpg",
1,"x",262144,1,0.523154870001599,0.509970120014623,1.63569327502046,3.09320982591605E-02,2.88793095226946E-02,10,10,4,162,174,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_262144_x_001_Ascii.csv",786432
1,"x",524288,1,0.990288033344162,0.894038966662871,2.70461935002822,0.062234569478918,5.79425274640664E-02,6,6,2,81,87,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_524288_x_001_Ascii.csv",1572864
1,"x",1048576,1,1.72177416668274,1.6939624666702,5.8381376999896,0.13415789604187,0.119785711878822,3,3,1,38,42,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_1048576_x_001_Ascii.csv",3145728
1,"x",2097152,1,4.02282614994328,4.09616890002508,10.7131678001024,0.278611103693644,0.217833330233892,2,2,1,18,24,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_2097152_x_001_Ascii.csv",6291456
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.56393932163554
,,,,,,,,,,,,,,"Chart_2_Time_v_Rows.jpg",521313.107211846
,,,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 32-char fields.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.14","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","CSV.jl
v0.9.0","NCalls
CSVRead
v0.14","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","NCalls
CSV.jl
v0.9.0","File","Size"
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",1,1,2.38601918300992E-04,1.67300026764658E-04,2.79876071632442E-03,3.42044055274319E-04,4.76962701516741E-04,20956,29887,1787,14618,10483,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0001_x_001_Ascii.csv",34
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",2,1,2.36452506387575E-04,1.8573743684728E-04,3.2492356725543E-03,2.94681174104227E-04,4.57038391224863E-04,21146,26920,1539,17015,10940,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0002_x_001_Ascii.csv",68
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",4,1,2.54020615724222E-04,1.84550843392806E-04,2.90946375809983E-03,2.79229476690159E-04,4.84358346491114E-04,19684,27093,1719,17910,10325,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0004_x_001_Ascii.csv",136
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",8,1,2.80970302319364E-04,2.05519433599597E-04,3.09993174205368E-03,2.85388127853881E-04,4.94119972329282E-04,17796,24329,1613,17520,10119,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0008_x_001_Ascii.csv",272
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",16,1,3.34736162797614E-04,2.40007972931096E-04,3.43375634859069E-03,2.94533459000942E-04,5.13980263157895E-04,14938,20833,1457,16976,9728,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0016_x_001_Ascii.csv",544
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",32,1,4.09659585439697E-04,3.29538179656758E-04,3.57153321433413E-03,2.93014533520863E-04,5.000500050005E-04,12206,15173,1400,17064,9999,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0032_x_001_Ascii.csv",1088
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",64,1,5.73028077009819E-04,6.25486790081628E-04,5.19621526476224E-03,2.79158059293172E-04,5.10568773613806E-04,8726,7994,963,17911,9793,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0064_x_001_Ascii.csv",2176
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",128,1,7.85116548902209E-04,6.41677146165632E-04,3.75594481981049E-03,3.08947108255067E-04,5.76750105632491E-04,6369,7793,1332,16184,8671,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0128_x_001_Ascii.csv",4352
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",256,1,1.23625505561348E-03,1.15887320973842E-03,4.60236071756327E-03,3.98724082934609E-04,6.81384573453257E-04,4045,4315,1087,12540,7338,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0256_x_001_Ascii.csv",8704
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",512,1,2.15461874191715E-03,2.29275405402259E-03,6.67295506658653E-03,4.16458437447943E-04,1.05395151264926E-03,2321,2183,750,12006,4745,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0512_x_001_Ascii.csv",17408
