"Performance",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"This data generated 06-November-2022 12:06:11",,,,,,,,,,,,"Chart_1_Time_v_Rows.jpg",
20,"""xxxxxxxx
yyyyyyyy""",65536,1,0.204593244074986,0.329170454325054,2.26009394807526,1.48752004559524E-02,25,16,3,336,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_65536_x_001_Ascii.csv",1703936
20,"""xxxxxxxx
yyyyyyyy""",131072,1,0.424532806408249,0.610890570297187,4.35718524807506,3.27458815258759E-02,12,9,2,153,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_131072_x_001_Ascii.csv",3407872
20,"""xxxxxxxx
yyyyyyyy""",262144,1,0.838030964741769,1.19487254807498,8.97615974807521,6.13357140482726E-02,6,5,1,82,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_262144_x_001_Ascii.csv",6815744
20,"""xxxxxxxx
yyyyyyyy""",524288,1,1.67994464807475,2.34830128140819,18.1875439480751,0.12018472090491,3,3,1,42,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_524288_x_001_Ascii.csv",13631488
20,"""xxxxxxxx
yyyyyyyy""",1048576,1,3.40580684807499,4.72600489807481,36.9108074480751,0.317994251770488,2,2,1,16,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_1048576_x_001_Ascii.csv",27262976
,,,,,,,,,,,,,
,,,,,,,,,,,,,8.00485089617147
,,,,,,10.8376103210132,,,,,,,307878.880621979
,,,,,,10.7102780289662,,,,,,"Chart_4_Time_v_Rows.jpg",
,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
10 columns of 17-char numeric fields (no quotes).",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.21(176)","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.21(176)","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","File","Size"
17,0.719057207097576,1,10,1.88411207960512E-04,1.23846138813784E-04,2.17223958196897E-03,3.09586117381429E-04,25752,38581,2296,15856,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0001_x_010_Ascii.csv",181
17,0.719057207097576,2,10,1.99605923693967E-04,1.46801409757124E-04,1.94599241535886E-03,3.08338156035237E-04,24348,32776,2562,15919,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0002_x_010_Ascii.csv",362
17,0.719057207097576,4,10,2.17403769903141E-04,1.75120980512934E-04,2.07817390833307E-03,3.11547224638275E-04,22406,27644,2400,15758,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0004_x_010_Ascii.csv",724
17,0.719057207097576,8,10,2.64710205145485E-04,2.42129885520091E-04,2.14892799744782E-03,3.29099401011247E-04,18487,20171,2321,14932,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0008_x_010_Ascii.csv",1448
