,"Audit",,,,,,
,,,,,,,
,"All 252 rows shown.",,,,,,
,"","","","","",,"Check list for release"
,"Version","Date","Time","Author","Comment",,"Tests pass (Button Test on worksheet Test)"
,157,2022-10-24,0.402662037035043,"Philip Swannell","CSVRead: better handling for when Booleans in file are represented by quoted strings. E.g. https://vincentarelbundock.github.io/Rdatasets/csv/carData/TitanicSurvival.csv where the TrueString is quoted yes and FalseString is quoted no.",,
,156,2022-10-24,0.390671296299843,"Philip Swannell","Method ValidateTrueAndFalseStrings now rejects strings containing line feed, carriage return, delimiter (cont.)",,
,155,2022-10-24,0.377268518517667,"Philip Swannell","Method ValidateTrueAndFalseStrings now rejects strings containing line feed, carriage return, delimiter.",,
,154,2022-10-23,0.689224537039991,"Philip Swannell","Tweaked method ValidateTrueAndFalseStrings. Removed worksheet Adhoc.",,
,153,2022-10-23,0.661631944443798,"Philip Swannell","Fixed compile error. Added test 207.",,
,152,2022-10-23,0.516863425924385,"Philip Swannell","CSVWrite, improved validation of TrueString and FalseString. Added one more test for CSVRead.",,
,151,2022-10-22,0.761585648149776,"Philip Swannell","Improved handling of files containing long fields - length of field is now tested after ""unquoting"".",,
,150,2022-10-22,0.735578703701322,"Philip Swannell","Now know that for Excel 2013 function MaxStringLengthInArray should return 255. Also changes to code that detects that an array to be returned to Excel contains a too-long string.",,
,149,2022-10-22,0.428668981483497,"Philip Swannell","Tested on Excel 2010, with necessary changes to test code.",,
,148,2022-10-21,0.695613425923511,"Philip Swannell","Bumped tag to 16.",,
,147,2022-10-21,0.693877314814017,"Philip Swannell","Added arguments TrueString and FalseString to CSVWrite.",,
,146,2022-10-21,0.67820601852145,"Philip Swannell","1) Bug fix to method ParseCSVContents for case ConvertTypes <> FALSE _and_ SkipToRow > 1 _and_ HeaderRow > 1 _and_ SkipToRow = HeaderRow. Test = 203
2) Argument DateFormat can now use the space character as the separator. e.g. ""D M Y"" is allowed. Test = 204.",,
,145,2021-11-01,0.679398148145992,"Philip Swannell","Now use SolumAddin for exporting VBA code.",,
,144,2021-11-01,0.671030092591536,"Philip Swannell","Vba code is now exported to folder c:\Projects\<ProjectName>\vba\<WorkbookName>",,
,143,2021-10-14,0.714733796296059,"Philip Swannell","Moved performance testing methods out of modCSVReadWrite. 331 fewer loc.",,
,142,2021-10-14,0.692037037035334,"Philip Swannell","In release 120 (or soon after) I followed suggestions from RubberDuck code analysis to explicitly declare all arguments as ByVal or ByRef with preference for ByVal. But I now believe that caused a performance hit, especially when ConvertTypes is not FALSE. Reverted declarations to as of version 119. I now declare as follows:
ByVal = argument will be changed in function and we don't want that change to be visible to the caller.
ByRef = argument will be changed in function and we DO want that change to be visible to the caller.
Silent = argument won't be changed in the function, so pass by reference (the default) for better speed.",,
,141,2021-10-14,0.404467592590663,"Philip Swannell","Added to ToDo list.",,
,140,2021-10-14,0.393726851849351,"Philip Swannell","Comments in module modCSVTestRDatasets.",,
,139,2021-10-13,0.720266203701613,"Philip Swannell","Reinstated changes that were lost in 138.",,
,138,2021-10-13,0.71825231481489,"Philip Swannell","Reverted to 137 as 138 corrupted.",,
,137,2021-10-12,0.525925925925549,"Philip Swannell","CSVWrite now accepts one-dimensional Data.",,
,136,2021-10-11,0.799432870371675,"Philip Swannell","CSVWrite now accepts zero-dimensional Data.",,
,135,2021-10-08,0.812118055553583,"Philip Swannell","More performance testing",,
,134,2021-10-08,0.683969907404389,"Philip Swannell","Tweaked method PrepareForRelease.",,
,133,2021-10-08,0.487488425926131,"Philip Swannell","Improved error handling in method Download.",,
,132,2021-10-08,0.455173611109785,"Philip Swannell","Method TimeParsers now adjusts for the overhead of calling ElapsedTime within the timing loop.",,
,131,2021-10-07,0.939976851848769,"Philip Swannell","Removed line numbers.",,
,130,2021-10-05,0.684236111112114,"Philip Swannell","Added another VBA CSV parser to those tested by Performance-testing code. It's the top-voted answer on the most relevant StackOverflow question (at https://stackoverflow.com/questions/12259595/load-csv-file-into-a-vba-array-rather-than-excel-sheet?)",,
